iter	Passed	Remaining
399	33621	50432
400	33715	50362
401	33804	50286
402	33893	50209
403	33988	50141
404	34018	49977
405	34114	49910
406	34129	49726
407	34219	49652
408	34317	49587
409	34419	49530
410	34427	49338
411	34432	49140
412	34524	49070
413	34614	48995
414	34618	48800
415	34711	48729
416	34808	48664
417	34900	48594
418	34902	48396
419	34995	48326
420	35093	48264
421	35124	48109
422	35218	48039
423	35313	47973
424	35410	47908
425	35502	47836
426	35594	47765
427	35686	47693
428	35782	47626
429	35802	47458
430	35897	47391
431	35993	47325
432	36084	47251
433	36176	47179
434	36277	47119
435	36375	47054
436	36470	46985
437	36566	46918
438	36656	46843
439	36931	47003
440	37056	46971
441	37169	46923
442	37270	46861
443	37278	46682
444	37379	46619
445	37482	46559
446	37579	46491
447	37674	46420
448	37778	46360
449	37873	46289
450	37964	46214
451	38054	46137
452	38154	46071
453	38251	46003
454	38362	45950
455	38458	45880
456	38553	45808
457	38649	45737
458	38743	45665
459	38838	45592
460	38930	45517
461	39023	45442
462	39114	45365
463	39204	45288
464	39295	45211
465	39392	45140
466	39488	45069
467	39582	44995
468	39674	44919
469	39769	44846
470	39861	44769
471	39951	44691
472	40048	44621
473	40143	44547
474	40240	44476
475	40255	44314
476	40348	44239
477	40442	44165
478	40539	44093
479	40634	44020
480	40728	43946
481	40823	43872
482	40916	43796
483	41018	43730
484	41119	43663
485	41222	43597
486	41321	43527
487	41417	43454
488	41513	43381
489	41607	43305
490	41701	43230
491	41796	43155
492	41889	43079
493	41981	43001
494	42072	42922
495	42163	42843
496	42254	42764
497	42354	42694
498	42477	42648
499	42592	42592
500	42702	42532
501	42909	42567
502	42912	42401
503	42944	42262
504	43036	42184
505	43133	42110
506	43238	42044
507	43341	41976
508	43442	41906
509	43534	41827
510	43640	41761
511	43737	41687
512	43833	41611
513	43926	41533
514	44020	41456
515	44118	41382
516	44216	41308
517	44318	41238
518	44322	41077
519	44418	41001
520	44426	40844
521	44518	40765
522	44623	40698
523	44716	40620
524	44808	40541
525	44902	40463
526	44994	40384
527	45087	40305
528	45185	40231
529	45280	40154
530	45284	39997
531	45380	39921
532	45472	39841
533	45565	39762
534	45657	39683
535	45661	39528
536	45692	39396
537	45786	39318
538	45885	39245
539	45985	39173
540	46018	39043
541	46049	38912
542	46065	38769
543	46165	38697
544	46257	38618
545	46355	38544
546	46372	38403
547	46471	38330
548	46569	38256
549	46662	38178
550	46755	38100
551	46858	38030
552	46957	37956
553	47057	37883
554	47157	37810
555	47255	37736
556	47349	37658
557	47442	37579
558	47535	37501
559	47627	37421
560	47643	37282
561	47651	37137
562	47746	37060
563	47842	36984
564	47936	36907
565	48033	36831
566	48127	36753
567	48218	36673
568	48310	36593
569	48408	36518
570	48501	36439
571	48596	36362
572	48694	36287
573	48790	36210
574	48881	36129
575	48976	36052
576	49073	35975
577	49174	35902
578	49266	35822
579	49367	35748
580	49458	35668
581	49551	35588
582	49643	35508
583	49733	35426
584	49828	35348
585	49925	35271
586	50024	35196
587	50129	35124
588	50221	35044
589	50313	34963
590	50407	34884
591	50519	34817
592	50614	34738
593	50711	34661
594	50804	34581
595	50902	34504
596	51000	34427
597	51092	34346
598	51190	34269
599	51206	34137
600	51302	34059
601	51397	33980
602	51494	33902
603	51585	33820
604	51676	33738
605	51768	33657
606	51859	33576
607	51951	33495
608	52051	33418
609	52144	33338
610	52237	33257
611	52333	33178
612	52428	33099
613	52521	33018
614	52612	32936
615	52707	32856
616	52798	32774
617	52892	32693
618	52986	32613
619	53085	32536
620	53178	32454
621	53271	32373
622	53363	32292
623	53455	32210
624	53547	32128
625	53636	32044
626	53726	31961
627	53816	31878
628	53909	31797
629	54000	31714
630	54091	31631
631	54181	31548
632	54272	31466
633	54366	31384
634	54370	31252
635	54462	31170
636	54477	31044
637	54568	30961
638	54658	30878
639	54751	30797
640	54753	30665
641	54849	30585
642	54946	30507
643	54978	30391
644	55071	30310
645	55168	30231
646	55259	30149
647	55355	30069
648	55450	29989
649	55549	29911
650	55645	29831
651	55742	29751
652	55835	29670
653	55931	29590
654	56032	29513
655	56052	29393
656	56172	29325
657	56276	29250
658	56383	29175
659	56386	29047
660	56494	28973
661	56598	28897
662	56704	28822
663	56804	28744
664	56904	28666
665	57006	28588
666	57106	28510
667	57205	28431
668	57304	28352
669	57412	28277
670	57517	28201
671	57624	28126
