iter	RMSE
0	25.45015419
1	25.42756361
2	25.41035787
3	25.38665289
4	25.36363069
5	25.34587235
6	25.3274132
7	25.30482866
8	25.28123386
9	25.26283348
10	25.24087522
11	25.22391117
12	25.2072736
13	25.18230615
14	25.16361439
15	25.14536981
16	25.12708931
17	25.11048059
18	25.09324093
19	25.06998332
20	25.04662802
21	25.02945925
22	25.00470607
23	24.98174082
24	24.96302786
25	24.94220789
26	24.92271488
27	24.90187072
28	24.88073349
29	24.85839223
30	24.84147695
31	24.82397257
32	24.80191347
33	24.7829942
34	24.7601842
35	24.73581348
36	24.71081012
37	24.6885676
38	24.67159437
39	24.65231459
40	24.6300697
41	24.61050121
42	24.59410376
43	24.57792926
44	24.55206532
45	24.53033298
46	24.50857096
47	24.47393783
48	24.45300225
49	24.42644116
50	24.40388953
51	24.38443378
52	24.35948005
53	24.34290097
54	24.32001955
55	24.29870179
56	24.28230319
57	24.26050313
58	24.23829328
59	24.21227356
60	24.19446883
61	24.17247077
62	24.15041013
63	24.13384118
64	24.1126911
65	24.09446782
66	24.06892299
67	24.04688773
68	24.02413347
69	24.00549952
70	23.98828951
71	23.97131631
72	23.94999068
73	23.9281587
74	23.90950907
75	23.88946771
76	23.87359692
77	23.84794459
78	23.83196092
79	23.79472018
80	23.77819468
81	23.75622061
82	23.73339478
83	23.7171284
84	23.69488944
85	23.67703365
86	23.65576176
87	23.63907674
88	23.61690657
89	23.59536404
90	23.57639471
91	23.55505942
92	23.53903047
93	23.5129036
94	23.47928082
95	23.46382007
96	23.44299811
97	23.42007587
98	23.40446042
99	23.38690984
100	23.3652098
101	23.34399665
102	23.32812733
103	23.30406635
104	23.28496638
105	23.26408808
106	23.24726989
107	23.22345982
108	23.19903373
109	23.18273531
110	23.16128547
111	23.14581498
112	23.12699221
113	23.10995375
114	23.09013761
115	23.07443818
116	23.05325509
117	23.0380741
118	23.02273264
119	23.00653181
120	22.98284847
121	22.96106668
122	22.94034776
123	22.91916505
124	22.90347706
125	22.88828185
