iter	RMSE
0	25.43287114
1	25.39422319
2	25.35757238
3	25.32115611
4	25.28332929
5	25.24636038
6	25.20945606
7	25.17167185
8	25.13398702
9	25.10092869
10	25.06544329
11	25.02819492
12	24.99247858
13	24.95738919
14	24.92154549
15	24.88461277
16	24.84942198
17	24.8127555
18	24.77866821
19	24.74599907
20	24.71131857
21	24.67725044
22	24.64283285
23	24.60855274
24	24.57298495
25	24.53733163
26	24.502919
27	24.47325171
28	24.44100837
29	24.40584427
30	24.37241831
31	24.33750999
32	24.30378954
33	24.26914454
34	24.23484991
35	24.20477401
36	24.17050327
37	24.1387032
38	24.10484817
39	24.07096347
40	24.03721182
41	24.00417762
42	23.97132373
43	23.93956875
44	23.90631768
45	23.87340513
46	23.84100798
47	23.80813784
48	23.77683484
49	23.75008087
50	23.72204369
51	23.69277688
52	23.66533719
53	23.6328537
54	23.60295589
55	23.57317476
56	23.54350995
57	23.51396109
58	23.48452782
59	23.45676868
60	23.42977476
61	23.40063524
62	23.36936053
63	23.34140831
64	23.31356699
65	23.28484788
66	23.25624173
67	23.22741741
68	23.19871418
69	23.16819885
70	23.13890071
71	23.10861637
72	23.07845384
73	23.05351051
74	23.02764801
75	22.99916036
76	22.97160003
77	22.94414894
78	22.91481318
79	22.88996724
80	22.86322923
81	22.83420535
82	22.80507964
83	22.77929887
84	22.75473251
85	22.72774709
86	22.69891723
87	22.67004311
88	22.64284548
89	22.61443001
90	22.58825654
91	22.55997568
92	22.53189082
93	22.50520099
94	22.48139443
95	22.45360609
96	22.4259315
97	22.3983703
98	22.37216734
99	22.34852173
100	22.32288788
101	22.29569787
102	22.26861964
103	22.24643508
104	22.21955131
105	22.19277831
106	22.16611571
107	22.14246522
108	22.11718596
109	22.09201395
110	22.0657414
111	22.03932228
112	22.01444342
113	21.98847751
114	21.96261932
115	21.93965995
116	21.91399987
117	21.88844647
118	21.86411869
119	21.83989482
120	21.81436394
121	21.78920013
122	21.76693557
123	21.74196586
124	21.71894361
125	21.6941687
126	21.66926387
127	21.64651543
128	21.62177582
129	21.60067964
130	21.57654809
131	21.5556095
132	21.53147121
133	21.51422283
134	21.49096173
135	21.47127868
136	21.44723277
137	21.42451842
138	21.40063235
139	21.37886225
140	21.35515998
141	21.33346629
142	21.31297401
143	21.28975054
144	21.26869654
145	21.24563549
146	21.22417265
147	21.2037777
148	21.18117084
149	21.15941368
150	21.13654154
151	21.11571699
152	21.09577856
153	21.07643455
154	21.05702722
155	21.03648207
156	21.01602234
157	20.99368914
158	20.9742492
159	20.95324293
